Date,tic,open,high,low,close,volume,macd,rsi,cci,adx
20140321,Bitcoin,18020.03,18519.26,17208.89,17505.31,1176662297,0.0,,,
20140322,Bitcoin,17451.26,17493.06,16938.31,17263.67,530421467,-5.421410256411036,0.0,-66.66666666666667,100.0
20140323,Bitcoin,17285.79,17422.48,17136.51,17148.54,283788485,-10.47812715623877,0.0,-49.388614224875255,100.0
20140324,Bitcoin,17190.21,17925.34,16862.15,17829.07,693922864,12.049047611326387,66.87457049900254,33.05889803673328,35.971923938090725
20140325,Bitcoin,17863.77,17876.35,17484.49,17829.91,428103754,24.06974017747052,66.90283277269953,74.30543119845535,35.971923938090725
20140326,Bitcoin,17807.87,18007.66,17425.79,17726.84,500561572,26.436041964250762,60.365363687380395,62.23424365075849,46.77015364365742
20140327,Bitcoin,17703.64,17712.89,14377.5,14377.5,1898496954,-124.23252334007339,14.08809721314988,-231.29016894325363,71.69378072769751
20140328,Bitcoin,14555.25,16046.33,14436.0,15120.29,1794557292,-187.93597769805274,26.938041763709876,-145.04830494777684,71.69378072769754
20140329,Bitcoin,15292.21,15388.1,14927.09,14970.92,339763608,-236.60068531237448,26.125159848524135,-110.99248503132361,71.69378072769753
20140330,Bitcoin,15007.5,15007.5,13538.58,14029.12,1309368984,-316.1913520357066,21.828723836701684,-127.23275332068712,80.46619411839755
20140331,Bitcoin,14090.87,14722.51,13513.76,13929.39,861181920,-374.5836795670348,21.44243349196725,-110.3717994983591,80.58118842306534
20140401,Bitcoin,13924.79,15093.1,13924.79,14576.09,1087346326,-376.7740190734239,29.77840969381039,-77.69291537514783,65.07103958884935
20140402,Bitcoin,14529.83,15012.24,13078.23,13256.27,1505563470,-447.9545885625812,24.328196811329633,-100.52281193857549,71.12677045905616
20140403,Bitcoin,13217.71,13615.08,12564.94,13468.28,1234583168,-483.12891019720155,26.561764390462557,-112.50739320689344,74.04349777950546
20140404,Bitcoin,13490.25,13762.32,12988.58,13546.61,693954885,-498.84313655150436,27.381002787206853,-94.6186845890721,68.81428444762551
20140405,Bitcoin,13496.73,14007.26,13421.86,13956.98,405030372,-479.60827409061676,31.521145271403086,-74.46815178918742,60.25218781567035
20140406,Bitcoin,14002.0,14090.29,13686.94,13914.44,309454142,-461.6196792315113,31.32960280850915,-66.4787046470758,57.36014511820253
20140407,Bitcoin,13943.9,13976.83,13449.81,13579.77,471871186,-463.2772776958427,29.853227010495374,-72.72787100281423,59.58673305583757
20140408,Bitcoin,13540.29,13837.08,13494.95,13705.85,330378400,-450.8283361853646,31.118251303225392,-69.19246517180171,59.58673305583757
20140409,Bitcoin,13658.75,13735.64,13319.86,13343.73,397980616,-459.39764588288017,29.53566469566705,-75.11670043621021,61.292130604265424
20140410,Bitcoin,13250.87,13284.13,10748.33,10941.4,1673926005,-619.448873877187,21.8940932774194,-142.560854963277,76.71727913765154
20140411,Bitcoin,10913.12,12895.16,10539.92,12630.51,1877196814,-622.6820627622474,34.26451064984762,-118.13422266784247,77.49426642864071
20140412,Bitcoin,12641.4,13203.57,12488.22,12648.22,577467928,-616.6043795550213,34.37724047888247,-82.50421293021186,68.59413850429999
20140413,Bitcoin,12658.58,12836.9,11871.45,12436.38,675592273,-619.1694057177538,33.66290341804371,-94.62999008980988,71.63472526685311
20140414,Bitcoin,12459.36,14108.97,12235.45,13779.67,1523681557,-520.5175330718157,41.62043056274002,-51.916518414935055,41.44347649213802
20140415,Bitcoin,13843.32,15674.2,13697.45,15571.21,1496791761,-311.8262893425908,49.91033919976864,16.12702914234744,14.866769248925744
20140416,Bitcoin,15759.54,16368.97,15173.93,15916.78,1704569418,-121.08790779520496,51.290517369673324,50.91507212128085,5.464133161032169
20140417,Bitcoin,15938.14,16072.2,14606.83,14940.89,1025018188,-40.73279204804021,47.46941205552138,23.718600998945174,11.766057603148651
20140418,Bitcoin,14945.83,15030.33,14250.78,14458.9,574033148,-12.30840879635798,45.728799373001834,-4.280011243580085,15.54455622445102
20140419,Bitcoin,14466.59,15189.74,14194.47,15129.71,590878053,58.74523564640913,48.450244950989934,7.604699031505962,13.22400916520691
20140420,Bitcoin,15135.32,15410.42,14806.19,15027.24,365090012,106.06523071186894,48.069338058693525,25.216754018635847,9.956090121788336
20140421,Bitcoin,15014.3,15401.28,14877.41,14954.99,457645281,136.49312606920648,47.79526138990282,30.513277750483418,9.956090121788334
20140422,Bitcoin,14965.22,15199.82,14727.35,14737.74,352519535,142.6115933386809,46.9623497440488,26.119592252348703,11.931168582379533
20140423,Bitcoin,14785.07,14933.11,14708.11,14874.2,297134896,155.9109284055885,47.55620018461061,30.88314704172848,12.195137260741722
20140424,Bitcoin,14875.92,15168.09,14637.31,15168.09,394288895,186.51074025777234,48.83260608875899,50.66912090926782,7.970168790620612
20140425,Bitcoin,15137.63,15144.05,13408.13,13968.06,1418346255,118.05644894267061,44.28025909365851,2.637163551241947,23.978137452371794
20140426,Bitcoin,13978.12,14064.04,13596.59,13884.15,369797015,56.803935836866,43.983665510901105,-19.382605227907508,23.978137452371783
20140427,Bitcoin,13843.0,13906.22,13211.71,13211.71,331496113,-42.776294018216504,41.66981022012075,-48.802603473866945,28.43225992082748
20140428,Bitcoin,13039.93,13549.09,12804.57,13329.63,722864065,-111.24092731674864,42.22121480028713,-62.654529729115936,32.87921555023946
20140429,Bitcoin,13295.41,13647.54,13150.3,13513.76,495617505,-149.48606259740882,43.09022364786038,-42.33935379575314,30.778736882767642
20140430,Bitcoin,13482.67,13609.66,13175.21,13505.45,459938633,-178.3460821913195,43.059987294205875,-40.71991298672942,30.77873688276765
20140501,Bitcoin,13514.04,13905.94,13514.04,13819.77,388599642,-174.73399261467603,44.581582179172095,-12.471939521637482,24.0361948640057
20140502,Bitcoin,13807.82,13824.88,13386.34,13566.69,313800898,-189.4107523134462,43.61088132870344,-24.961972831613735,25.79877890159648
20140503,Bitcoin,13547.25,13547.25,12982.91,13196.34,296917398,-227.3523003774808,42.2192685201374,-54.927716608461175,31.19055864222918
20140504,Bitcoin,13219.09,13256.84,12963.98,13155.37,169452883,-257.63230985901646,42.065655479260826,-63.34403358374266,31.440440787979107
20140505,Bitcoin,13106.5,13293.16,12890.51,13067.31,301594696,-285.2312878219054,41.72807162214893,-63.342399660841046,32.45805665178335
20140506,Bitcoin,13035.59,13476.98,12731.39,12903.18,376219584,-316.34824273478444,41.09223387485477,-63.27158260159241,27.400582369477256
20140507,Bitcoin,12924.45,13429.79,12897.66,13209.83,551854217,-313.20074815661246,42.777479586672094,-49.76383824962545,27.400582369477238
20140508,Bitcoin,13202.04,13494.57,13185.91,13246.89,284294825,-304.26079704975564,42.98141507842013,-38.04720259504718,25.47138977469161
20140509,Bitcoin,13231.75,13607.92,13230.7,13510.8,311057874,-273.14406599701215,44.44009830448684,-26.98170347029461,22.015472363432764
20140510,Bitcoin,13560.98,13720.99,13501.13,13680.71,201179673,-232.3443862822187,45.3708953301638,-18.85425035684854,18.53409190399541
