,0
0,100000.0
1,100932.0686229644
2,101945.74754702125
3,100125.06872261286
4,99150.92518211468
5,103301.59965671721
6,101531.20393234937
7,102282.53416410674
8,99774.7217485509
9,100108.84974607083
10,101385.27545432572
11,102042.40255275504
12,107803.61261571999
13,110109.74971509856
14,109553.94077319893
15,108911.51883769014
16,103754.53508008042
17,108440.63720437302
18,107250.6047448657
19,109223.24392068032
20,102132.22617414502
21,97136.27504727137
22,99106.33019317233
23,99914.83771593192
24,100536.18179611451
25,98797.82240789982
26,93829.38538859737
27,99506.3780197147
28,98932.54002755682
29,104673.69305115342
30,103103.75083248306
31,106649.55241936292
32,108746.85934267618
33,108952.72982281596
34,111155.7028620842
35,107404.35044505134
36,108436.85660962734
37,108953.05037353624
38,117225.16016798711
39,123316.9334956427
40,122866.57715894641
41,123957.71128293227
42,127016.71181752626
43,135455.31536746403
44,118000.34064514891
45,125190.14354037744
46,128355.35688172482
47,116543.24351056614
48,117152.81960754974
49,116845.42429881742
50,122070.74507293146
51,114901.06924965086
52,115927.95530607262
53,116478.4136579646
54,123455.30840444767
55,126956.40151295482
56,125616.98226712456
57,118023.12477641762
58,109168.559674169
59,112020.9250720818
60,109418.62577095134
61,92928.96265931614
62,94349.15907465748
63,81737.9987139078
64,86394.18192217631
65,92769.1200627719
66,90400.96574567021
67,93898.40529075243
68,92465.32872172678
69,89260.714333541
70,87130.87523917704
71,88577.61698010546
72,89813.09133012684
73,89596.95846067785
74,84918.03327110637
75,86385.44941260459
76,86388.22464841914
77,86003.12745362316
78,89397.457896825
79,89753.09300949909
80,90309.37650262218
81,92714.49094404576
82,92904.53196489468
83,97941.7881762635
84,95283.16210183942
85,95007.70447392417
86,93017.11473992483
87,88451.77972947503
88,86987.62546327556
89,90642.12310258127
90,88732.69445807293
91,87525.01768818837
92,77683.47727220782
93,79262.22914201223
94,77840.5149005742
95,77997.87795357499
96,81391.80034618842
97,85082.81589935499
98,82564.13557289618
99,78399.40772877254
100,80010.6420031586
101,81551.04237611026
102,80339.96123515273
103,78649.19421326197
104,79625.95805155023
105,78866.38916065208
106,73240.33792730665
107,71581.22576633544
108,71102.23386884273
109,72580.11124295443
110,72369.63100234543
111,75374.6858104786
112,76150.88585887631
113,74779.41870774135
114,73764.16829886795
115,71902.32275370068
116,75157.51781341761
117,76250.10392074227
118,76089.12258256217
119,75382.04959519868
120,75041.56535128588
121,75698.70937293478
122,75275.52290426358
123,78033.85423981825
124,78648.74519720615
125,81302.24392676714
126,85450.98769376951
127,86345.49518625558
128,90341.9791089649
129,89170.20111580277
130,88107.55770253752
131,86675.54650261455
132,82824.95931618763
133,69330.17930351275
134,70253.0052802247
135,68537.95030446304
136,71401.24392633191
137,71585.16801417153
138,69957.60651971279
139,73591.02047137084
140,72695.36561089013
141,73959.58165870635
142,71877.99732708951
143,72163.95305728218
144,71799.66539949898
145,70450.18311287818
146,73630.01999116657
147,73742.97948516886
148,78077.5462461357
149,77259.7098578664
150,73433.42441389973
151,73005.93355188519
152,73451.19988172698
153,75290.77877098066
154,73041.35441511494
155,70677.32739973823
156,71886.54423332054
157,70028.42773193025
158,69626.1902128132
159,70771.8454046617
160,70564.91714287925
161,69406.01155466985
162,65238.530044701474
163,65386.292040022454
164,73212.27078899424
165,73224.15738168935
166,75082.73738131378
167,74267.72989554613
168,77127.22304812787
169,74570.28769924998
170,74245.20538693607
171,74561.76430106255
172,74471.77444544129
173,73853.58831704326
174,75429.8741121594
175,76149.67183175286
176,76987.87307241878
177,75807.52585220653
178,73693.12697310021
179,74335.82361577995
180,76147.02113185357
181,74454.51094090132
182,75079.09331537498
183,75509.07493008254
184,74801.3499951591
185,72554.14698029142
186,73778.62514680963
187,74446.89946242076
188,72541.33068962903
189,71272.04694538588
190,70434.99495522528
191,64972.546090539814
192,60612.689076898125
193,62071.20754285933
194,57918.0629677157
195,59327.46293430228
196,60081.028218076695
197,61814.52358388431
